id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,sonde
WIKI_C_04410,C,واحد الدراسة داروها ف 2011 ديال ووك سكور رتبو أوماها رقم 21 ف المدن اللي تقدر تمشى فيها على رجليك من بين خمسين مدينة كبيرة ف ميريكان. وكاين واحد السيستيم ديال الطرقان طويل بزاف ف المدينة كاملة ديال الناس اللي كيمشيو على رجليهم، اللي كيجريو، اللي راكبين على البيكالا، وأنواع النقل الأخرى اللي كتمشى على رجليها.,"wa7ed dderasa daruha f 2011 dyal Walk Score rttbu omaha raqm 21 f mdun lli tqder tmshi fiha 3la rjlik mn bin 50 mdina kbira f merikan. w kayen wa7ed system dyal tturqan twil bzzaf f l-mdina kamla dyal nnas lli kymshiw 3la rjlihom, lli kijyriw, lli rakbin 3la lbikala, w anwa3 n-na9l l2ukhra lli katmshi 3la rjliha.","A study conducted in 2011 by Walk Score ranked it 21st among the fifty largest cities in America where you can walk. There is also a very extensive system of pathways throughout the city for people who walk, jog, ride bicycles, and other forms of transportation that are pedestrian-friendly.",أجريت دراسة في عام 2011 من قبل Walk Score، حيث احتلت المرتبة 21 بين خمسين مدينة كبيرة في أمريكا يمكن السير فيها. وهناك أيضًا نظام واسع جدًا من المسارات في جميع أنحاء المدينة للأشخاص الذين يمشون، أو يجريون، أو يركبون الدراجات، وأنواع أخرى من وسائل النقل المناسبة للمشاة.,classe_C
WIKI_C_01494,C,"البونطو عجب بزاف الناس. مجلة ""الحياة فالبلاد"" مدحات التصميم وقالت كيعكس التصميم ديالو التقاليد ديال پالاديو فالقرن تمنطاش ديال الفيلا الشهيرة ديال اللورد بيرلينجتون فتشيزويك.","lbontu 3jb bzzaf nass. majallat ""el7ayat felblad"" med7at t-tassmim w qalet ki3kes ttassmim dyalo tta9alid dyal palladium fel9arn tmenttach dyal l-villa ch-chahira dyal l-lord burlington fchiswick.","The bonto has pleased many people. The magazine ""Life in the Country"" praised the design and stated that it reflects his design of Palladian traditions from the 18th century of the famous villa of Lord Burlington in Chiswick.","لقد نال البونطو إعجاب الكثير من الناس. وقد أشادت مجلة ""الحياة في البلاد"" بالتصميم وذكرت أنه يعكس تصميمه لتقاليد بالاديو من القرن الثامن عشر للفيلا الشهيرة للورد بيرلينجتون في تشيسويك.",classe_C
WIKI_C_00089,C,"المؤرخ الإسرائيلي عومر بارتوف، اللي كيكتب ف ""نيويورك تايمز بوك ريفيو""، حكم على ""صناعة المحرقة"" بأنها مضروبة بنفس الأغلاط اللي كيشجبها في اللي كيستغلوا المحرقة للربح ولا السياسة:","lmo3arekh l2isra2ili 3omar bartov, li kaykteb f ""new york times book review"", 7kem 3la ""sena3et lma7ra9a"" b2anaha maddroba bnafs l'aghlatt li kaychjebha f li kaystaghlu lma7ra9a lirreb7 wla s-siyasa:","The Israeli historian Omar Bartov, who writes for the ""New York Times Book Review,"" judged the ""manufacture of the Holocaust"" to be flawed by the same mistakes he condemns in those who exploit the Holocaust for profit or politics:","المؤرخ الإسرائيلي عومر بارتوف، الذي يكتب في ""نيويورك تايمز بوك ريفيو""، حكم على ""صناعة المحرقة"" بأنها مضروبة بنفس الأخطاء التي يدينها في الذين يستغلون المحرقة للربح أو السياسة:",classe_C
WIKI_C_03740,C,"تزلج بالزحافات على غرونلاند. واحد من داكشي ديال نوريجيين لي دارو رحلة ف 1888 – 89. أشيهوغ، كريستيانيا 1890. ترجمة ديالو هي ""ذي فيرست كروسينغ أوف غرينلاند""، 1892.","tzelj bzze7afat 3la gronland. wa7d men dakchi dyal noryijiyin li daro ri7la f 1888 – 89. Aschehoug, Kristiania 1890. tarjama dyalo hiya ""The First Crossing of Greenland"", 1892.","Sliding on skis in Greenland. One of those Norwegians who made the journey in 1888-89. Aschehoug, Kristiania 1890. Its translation is ""The First Crossing of Greenland"", 1892.","الانزلاق على الزلاجات في غرينلاند. أحد النرويجيين الذين قاموا بالرحلة في 1888-89. أشخهوج، كريستيانيا 1890. ترجمته هي ""أول عبور لغرينلاند""، 1892.",classe_C
WIKI_C_00152,C,ملي كان صغير جراح، س. إيفيريت كوب كان داخل مع واحد ليكيب ديال لبحث ف فاك ديال طب ف جامعة بنسلفانيا. عاود على تجربتو مع ناس لي كانو كيجربو عليهم سي بي إس:,"mlli kan sghir jrra7, C. Everett Koop kan dakhel m3a wa7d likip dyal lb7t f fac dyal ttib f jami3at pennsylvania. 3awd 3la tjerbtou m3a nass lli kanou kayjrebou 3lihom CPS:","When he was a young surgeon, C. Everett Koop was involved with a research team at the medical school at the University of Pennsylvania. He talked about his experience with the people who were testing CPS on them:",عندما كان جراحًا صغيرًا، كان سي إيفريت كوب مشاركًا في فريق بحث في كلية الطب بجامعة بنسلفانيا. تحدث عن تجربته مع الأشخاص الذين كانوا يجربون عليهم CPS:,classe_C
WIKI_D_10252,D,"جايڤ ريكوردز وصّات واحد الفيديو كليب ديال أغنية ""لوكي"" لي غادي يخرّجها دايف مايرز. على حساب جوسلين فينا ديال إم تي في، سبيرز كتلعب دور ديال ""واحد النجمة ديال السينما حزينة لي ماباغيا والو كتر من أنها تفوج شوية"".","jive records wssat wa7ed l-video clip dyal ughniyat ""Lucky"" li radi ykhrejha Dave Meyers. 3la 7sab Jocelyn Vena dyal MTV, Spears katel3eb dor dyal ""wa7ed star dyal cinema 7zina li mabaghya walou ktr man anaha tfawej chwiya"".","Jive Records has released a music video for the song ""Lucky"" that will be directed by Dave Meyers. According to Jocelyn Vena from MTV, Spears plays the role of ""a sad movie star who wants nothing more than to break free a little"".","أصدرت شركة جايڤ ريكوردز فيديو كليب لأغنية ""Lucky"" التي سيخرجها ديف مايرز. وفقًا لجوسلين فينا من إم تي في، تلعب سبيرز دور ""نجمة سينمائية حزينة لا تريد شيئًا أكثر من أن تتحرر قليلاً"".",classe_D
WIKI_D_03145,D,الغالبية ديال الماكلة كتوّجد فكل ريسطو. شي حالات خاصة بحال اللوبية والكارنيتاس، كيوّجدوهم فواحد الكوزينة مركزية فشيكاغو، إلينوي. تا ريسطو ما فيهومش فريكو، مايكرووند، ولا حلالات ديال الطون.,"l-ghalibya dyal l'makla kttawjad fkol resto. shi 7alat khassa b7al lubbya w lcarnitas, kaywjawdohom fwa7d lkuzina markazya fchicago, illinois. ta resto ma fihomsh frigo, microwond, wla 7lalat dyal Ton.","The majority of the food is prepared in every restaurant. Some special cases like the beans and carnitas are prepared in a central kitchen in Chicago, Illinois. No restaurant has a fridge, microwave, or tuna cans.",الغالبية العظمى من الطعام تُحضّر في كل مطعم. توجد بعض الحالات الخاصة مثل الفاصولياء والكارنيتاس، حيث تُحضّر في مطبخ مركزي في شيكاغو، إلينوي. لا يوجد في أي مطعم ثلاجة، أو ميكروويف، أو علب تونة.,classe_D
WIKI_D_06359,D,فالأصل، لينايوس وصف سلحفاة منقار صقر بحال تيستودو إمبريكاتا ف 1766، ف الطبعة 12 ديال سيستيما ناتوراي ديالو. ف 1843، عالم الحيوان نمساوي ليوبولد فيتزينغر حولها لجنس ديال إريتموشيليس. ف 1857، هاد التنوع كان مؤقتاً بحال إريتموشيليس إمبريكاتا سكواماتا.,"fel2asl, linayus wssef sse7lfah men2ar ssa2er b7al testudo imbricata f 1766, f ttab3a 12 dyal systema naturae dyalo. f 1843, 3alem l7ayawan nemsawi leopold fitzinger 7ewelha ljins dyal eretmochelys. f 1857, had tnew3 kan mo2a9atan b7al eretmochelys imbricata squamata.","Originally, Linnaeus described the turtle with a hawk's beak like Testudo imbricata in 1766, in the 12th edition of his Systema Naturae. In 1843, the Austrian zoologist Leopold Fitzinger transferred it to the genus Eretmochelys. In 1857, this species was temporarily classified as Eretmochelys imbricata squamata.",في الأصل، وصف لينيوس السلحفاة ذات منقار الصقر مثل Testudo imbricata في عام 1766، في الطبعة الثانية عشرة من نظام الطبيعة الخاص به. في عام 1843، قام عالم الحيوان النمساوي ليوبولد فيتزينجر بنقلها إلى جنس Eretmochelys. في عام 1857، تم تصنيف هذا النوع مؤقتاً كـ Eretmochelys imbricata squamata.,classe_D
WIKI_D_10581,D,"تلت تربع ديال كاع المعامل ديال الشراب اللي فالمقاطعة كاينين فالنورث كاونتي على طول ديك الطريق ديال 60 ميل (97 كيلومتر) ديال الطريق الوطنية 78 من أوشنسايد لجوليان، داكشي علاش هاد الطريق بعض المرات كيتسماوها ""طريق دالبيرة"".","tlet terba3 dyal ka3 lma3amel dyal cherab lli fel meqta3a kaynin fel north county 3la toul dik tri9 dyal 60 mil (97 kilometre) dyal tri9 wataniya 78 men oceanside l julian, dakchi 3lash had tri9 ba3d lmarrat kiytsmawha ""tri9 dyal lbira"".","Three quarters of all the beverage factories in the district are located in North County along that 60-mile (97-kilometer) stretch of National Route 78 from Oceanside to Julian, which is why this road is sometimes referred to as ""the Beer Road"".","ثلاثة أرباع جميع مصانع المشروبات في المنطقة تقع في مقاطعة الشمال على طول هذا الطريق الذي يمتد لمسافة 60 ميلاً (97 كيلومتراً) من الطريق الوطني 78 من أوشنسايد إلى جوليان، ولهذا السبب يُطلق على هذا الطريق أحياناً اسم ""طريق البيرة"".",classe_D
WIKI_D_08144,D,نورتون عندو بيرمي ديال طيار خاص و هضر على التدريب ديال الطيران ديالو فاش دارو معاه مقابلة فالحلقات ديال ليت شو مع ديفيد ليترمان و إنسايد ذا آكتورز ستوديو. واحدة من الطيارات الشخصيات ديالو كانت سيسنا 206 معدلة بزاف من طرف أي أو بي أي.,norton 3ndo permi dyal tayyar khass w hder 3la t-tredrib dyal t-tayran dyalo fach daro m3ah mo9abla f-l7ala9at dyal Late Show m3a David Letterman w Inside the Actor's Studio. w7da mn t-tayyarat shekhsyat dyalo kant Cessna 206 m3edla bzzaf mn taraf AOPA.,Norton has a private pilot's license and talked about his flight training when he was interviewed on the Late Show with David Letterman and Inside the Actor's Studio. One of his private jets was a heavily modified Cessna 206 by AOPA.,نورتون لديه رخصة طيار خاص وتحدث عن تدريبه على الطيران عندما أجرى مقابلة في حلقات برنامج Late Show مع ديفيد ليترمان و Inside the Actor's Studio. واحدة من طائراته الخاصة كانت Cessna 206 معدلة بشكل كبير من قبل AOPA.,classe_D
WIKI_D_04737,D,"كونسطانس رجعات للدار من الكوافّور لقات حفيدها مايكل قتل المربية ديالو. تبسّمات و قالت: ""دابا شنو غاندير بيك؟"" و مايكل كيبتسّم بفرح و هو كيتمرجح فالكُرسي الهزاز.","konstans rj3at ldar mn lkwafeur l9at 7fidha maykel qtel lmorbia dyalo. tbsmat w 9alt: ""daba shno ghadi ndir bik?"" w maykel kaybtasm b fara7 w howa kaytmrj7 f lkursi lhzaz.","Constance returned home from the hairdresser and found her grandson Michael had killed his nanny. She smiled and said, ""What am I going to do with you now?"" and Michael smiled happily while rocking in the rocking chair.","عادت كونستانس إلى المنزل من صالون التجميل ووجدت حفيدها مايكل قد قتل مربيته. ابتسمت وقالت: ""ماذا سأفعل بك الآن؟"" وكان مايكل يبتسم بسعادة وهو يتأرجح في الكرسي الهزاز.",classe_D
WIKI_D_09234,D,فريد اللي السمية ديالو بالأرقام ذهب – واحد الولد ديال الناير دخل للعسكر قبل آرثر بيوم، فريد كيعطيه معلومات وكيدعمو حتى الآخر ديال الكتاب، فين كيكون غبر، حيت شدو ناير.,"fared li smitou bil ar9am dahab - wa7d lweld dyal nayer dkhl l3askar 9bel arthur b yom, fared kay3tih ma3lomat w kayda3mou 7tta l l-a5ir dyal lktab, fin kaykoun ghaber, 7it chedou nayer.","Farid, whose name is in numbers, is a boy from Nayer who joined the army a day before Arthur. Farid provides him with information and supports him until the end of the book, where he is absent because they caught Nayer.",فريد، الذي يُدعى بالأرقام، هو ولد من نايِر انضم إلى الجيش قبل يوم من آرثر. يقدم له فريد معلومات ويدعمه حتى نهاية الكتاب، حيث يكون غائبًا لأنهم قبضوا على نايِر.,classe_D
WIKI_D_11297,D,شارل شجع على إنتاج واحد الكتاب ديال الترانيم باش يتطبعا ويتوزع على الكنائس، وواحد النسخة جديدة مطبوعة ديال الكتاب المقدس اللي تكملات ف 1703 وتسمات على سميت اللي خدا بلاصتو: الكتاب المقدس ديال شارل التاني عشر.,"charles shajje3 3la intaj wa7d lktab dyal tranim bash ytbe3 w ytwezza3 3la lkana2is, w wa7d nskha jdida mtebu3a dyal lktab lmuqadas li tkmlat f 1703 w tsemat 3la smit li khda blasto: lktab lmqddas dyal charles t-tany 3chr.","Charles encouraged the production of a hymn book to be printed and distributed to churches, and a new printed version of the Bible that was completed in 1703 and named after the one who took his place: the Bible of Charles the Twelfth.",شجع شارل على إنتاج كتاب للترانيم ليتم طبعه وتوزيعه على الكنائس، ونسخة جديدة مطبوعة من الكتاب المقدس التي اكتملت في 1703 وسميت على اسم الذي أخذ مكانه: الكتاب المقدس لشارل الثاني عشر.,classe_D
WIKI_D_03878,D,سيجيبيرت حكم لمملكة ديال إيست أنڭليا (بالإنجليزية القديمة: إنغلا)، واحد لمملكة صغيرة مستقلة أنڭلو-ساكسونية اللي كانت كاتشمل دابا لمقاطعات الإنجليزية ديال نورفولك وسوفولك ويمكن حتى الجزء الشرقي ديال مستنقعات كامبريدجشاير.,"sijibirt 7km l-mamlaka dyal ist angliya (bil-ingliziyya l-qdima: ingla), wa7d l-mamlaka sghira mstaqla anglo-saksoniya lli kanat katshml daba l-mqaTa3at l-ingliziya dyal norfolk w suffolk w ymkn 7tta l-juz2 sharqi dyal mustanqa3at kambridjshir.","East Anglia was a small independent Anglo-Saxon kingdom that included what is now the English counties of Norfolk and Suffolk, and possibly even the eastern part of the Cambridgeshire fens.",كانت مملكة إيست أنغليا مملكة صغيرة مستقلة من الأنغلو-ساكسون، والتي كانت تشمل الآن مقاطعات نورفولك وسوفولك، وربما حتى الجزء الشرقي من مستنقعات كامبريدجشير.,classe_D
WIKI_D_09715,D,كيفما كيقول ݣراهام روب فالسيرة الذاتية ديالو ديال 1994، لكلام ديال بلزاك كان تنبؤ صحيح لثورة 1848. المعارضة الشعبية للملكية تفجرت في فبراير ديال داك العام، لوي فيليب تفرض عليه يتنازل، والجمهورية الثانية تأسست.,"kifma kigoul graham robb f-sira d-datiya dyalo dyal 1994, lkalam dyal balzac kan tanabo2 sa7i7 li-thawrat 1848. l-mo3arada cha3biya lil malakiya tfejrat f februaire dyal dak l3am, louis philippe tefared 3lih yetnazel, w-l-jumhurya d-taniya te2asset.","As Graham Robb states in his 1994 biography, Balzac's words were a correct prediction of the 1848 revolution. The popular opposition to the monarchy erupted in February of that year, Louis Philippe was forced to abdicate, and the Second Republic was established.",كما يقول غراهام روب في سيرته الذاتية عام 1994، كانت كلمات بالزاك تنبؤًا صحيحًا لثورة 1848. انفجرت المعارضة الشعبية للملكية في فبراير من ذلك العام، وتم إجبار لويس فيليب على التنحي، وتأسست الجمهورية الثانية.,classe_D
WIKI_D_05503,D,كتعلّم التقلبات ديال المزاج. الواحد كيتعرف على الشراب (فشي ثقافات هادشي يقدر يوقع فواحد السن صغير نسبيا)، و كيعجبو داك الإحساس ديال الفرحة اللي كيعطي. فهاد المرحلة ما كاين تا شي تمن عاطفي.,"kat3lm t9lbt dyal lmzaj. lwa7d kyt3rf 3la shrab (fshi thaqafat hadshi y9dr yw9a3 fwa7d s-sin sghir nisbyan), w ky3jbu dak l2i7sas dyal lfer7a lli ki3ti. f had lmar7la ma kayn ta shi taman 3atifi.","One learns about mood swings. One gets to know about drinking (in some cultures this can happen at a relatively young age), and enjoys that feeling of happiness it gives. At this stage, there is no emotional price.",يتعلم الإنسان تقلبات المزاج. يتعرف على الشرب (في بعض الثقافات يمكن أن يحدث هذا في سن صغير نسبياً)، ويعجبه ذلك الإحساس بالسعادة الذي يمنحه. في هذه المرحلة، لا يوجد أي ثمن عاطفي.,classe_D
WIKI_D_12182,D,بشكل عام، النقاد مدحوا إف زيرو إكس على اللعب السريع ديالو، والكثرة ديال الحلبات والمركبات، والتصميم ديال المسارات، والمحافظة على معدل الإطارات العالي. ولكن، اللعبة تعرضت لانتقادات واسعة بسبب نقص التفاصيل الرسومية.,"bshkl 3am, n-nu9ad mdd7o F Zero X 3la l-la3b s-sari3 dyalo, w l kethra dyal l7albat w lmurkabat, w tssim dyal lmassarat, w lmo7afda 3la m3dal l2iTarat l3ali. Walakin, lu3ba t3rḍat l2inti9adat was3a bsbab na9s t-tafasil rusumiya.","Overall, critics praised F Zero X for its fast gameplay, the abundance of tracks and vehicles, the design of the courses, and maintaining a high frame rate. However, the game faced widespread criticism due to a lack of graphical detail.",بشكل عام، مدح النقاد لعبة F Zero X بسبب سرعتها، وكثرة الحلبات والمركبات، وتصميم المسارات، والمحافظة على معدل الإطارات العالي. ومع ذلك، تعرضت اللعبة لانتقادات واسعة بسبب نقص التفاصيل الرسومية.,classe_D
WIKI_D_00502,D,تأسسات الطريق 666 ف 1937 فنفس الخط ما بين زانيسفيل وقرب دريزدن فمقاطعة موسكينكوم، كيفما هو دابا. ما بين 1953 و 1955 الطريق تفرشات. الطريق مارات عليها حتى شي تغييرات كبيرة من ناحية المسار ديالها من 1955.,"t2asset Triq 666 f 1937 fnafz lkhT men bin zanesvil w qrib dresden fmaqata3t muskingum, kifma huwa daba. men bin 1953 w 1955 tr2iq trfset. tr2iq ma mart 3liha 7tta chi taghyirat kbira men na7it lmasar dyalha men 1955.","The road 666 was established in 1937 along the same route between Zanesville and near Dresden in Muskingum County, as it is now. Between 1953 and 1955, the road was paved. The road has not undergone any significant changes in its route since 1955.",تم إنشاء الطريق 666 في عام 1937 على نفس المسار بين زانيسفيل وقرب دريزدن في مقاطعة موسكينكوم، كما هو الآن. بين عامي 1953 و1955، تم تعبيد الطريق. لم يطرأ على الطريق أي تغييرات كبيرة في مساره منذ عام 1955.,classe_D
WIKI_D_07349,D,نهار 23 أبريل 2012، جوجل دارت واحد الدودل كتحتفل بالذكرى الثلاثين ديال سپكتروم. حيت تزامن مع عيد القديس جورج، اللوغو كان ديال القديس جورج كيتحارب مع تنين بأسلوب ديال واحد الشاشة ديال سپكتروم كتحمل.,"nhar 23 april 2012, google dart wa7d doodle katk7fl bizikra tal 30 dyal spectrum. 7it tzamen m3id lqdis george, logo kan dyal lqidis george kyt7arb m3a tinin b2uslub dyal wa7d chacha dyal spectrum kat7mel.","On April 23, 2012, Google created a doodle to celebrate the 30th anniversary of Spectrum. Since it coincided with St. George's Day, the logo depicted St. George fighting a dragon in the style of a Spectrum screen.",في 23 أبريل 2012، أنشأت جوجل شعارًا احتفاليًا بمناسبة الذكرى الثلاثين لسبكتروم. نظرًا لتزامنه مع عيد القديس جورج، كان الشعار يصور القديس جورج وهو يقاتل تنينًا بأسلوب شاشة سبكتروم.,classe_D
WIKI_D_05161,D,الحكومة الجورجية بدات مبادرة باش تنقص التهريب من أوسيتيا الجنوبية ف 2004 من بعد النجاح ديالها فاستعادة السيطرة ف المنطقة. السلطات ديال أوسيتيا الجنوبية زادت سخنات الأوضاع. وقع قتال قاسح بين القوات الجورجية والميليشيات ديال أوسيتيا الجنوبية بين 8 و 19 غشت.,l7ukoma ljorjiya bdat mubadara bach tn9es t-tahrib mn ossetia janubiya f 2004 mn b3d naj7 dialha f ist3adet saytara f lman6a9a. sulu6at dyal ossetia janubiya zadet s5nat l2awdda3. w9e3 qital 9ase7 bin l9wat j-jorjiya w lmilichiyat dyal ossetia l-janubiya bin 8 w 19 ghosht.,The Georgian government initiated a campaign to reduce smuggling from South Ossetia in 2004 after its success in regaining control of the region. The authorities of South Ossetia intensified the situation. Intense fighting occurred between Georgian forces and South Ossetian militias from August 8 to 19.,بدأت الحكومة الجورجية مبادرة للحد من التهريب من أوسيتيا الجنوبية في عام 2004 بعد نجاحها في استعادة السيطرة على المنطقة. زادت السلطات في أوسيتيا الجنوبية من حدة الأوضاع. وقعت معارك عنيفة بين القوات الجورجية وميليشيات أوسيتيا الجنوبية بين 8 و19 أغسطس.,classe_D
WIKI_D_04308,D,ف ظروف الرصد المثالية، تقدر تشوف لمحة ديال السديمية دايرة بالڭروپ ديال النجوم، و هادشي كيبان ف التصاور اللي كيتخادو بمدة طويلة. هاد السديم انعكاسي، و السبب ديالو هو الغبرة اللي كتعكس الضو الأزرق ديال النجوم السخونة و الشابة.,"f zhorouf d rrsd lmtalyah, qdr tsho lma7a dyal sdymiyah dayra b lgrop d njoom, w hadshi kyban f tsawer lli kitkhado b muda twila. had sdym in3ikasi, w s-sbab dyalo howa lghbra lli kat3ks ddo azraq dyal njom skhona w chaba.","In ideal observation conditions, you can see a glimpse of the nebula surrounded by a group of stars, and this appears in long-exposure photographs. This nebula is reflective, and its cause is the dust that reflects the blue light of the hot, young stars.",في ظروف الرصد المثالية، يمكنك رؤية لمحة من السديم المحيط بمجموعة من النجوم، ويظهر ذلك في الصور التي تُلتقط بتعريض طويل. هذا السديم انعكاسي، وسببه هو الغبار الذي يعكس الضوء الأزرق للنجوم الشابة والساخنة.,classe_D
WIKI_D_01361,D,دون ماروستيكا (تزاد ف 7 مارس 1948) منعش عقاري وبرلماني سابق ف ولاية كولورادو ف ميريكان، ودابا خدّام مدير ديال مكتب التنمية الاقتصادية والتجارة الدولية ديال الولاية.,"don marostica (tzad f 7 mars 1948) mune3sh 3qqari w barlamani sabiq f wilayat colorado f merikan, w daba khddam mudir dyal maktab t-tanmiya l-iqtisadiya w t-tijara ddawliya dyal l-wilaya.","Don Marostica (born on March 7, 1948) is a former real estate developer and politician in Colorado, USA, and is currently the director of the Office of Economic Development and International Trade of the state.",دون ماروستيكا (ولد في 7 مارس 1948) هو مطور عقاري وسياسي سابق في ولاية كولورادو في الولايات المتحدة، وهو حالياً مدير مكتب التنمية الاقتصادية والتجارة الدولية في الولاية.,classe_D
WIKI_D_00816,D,النجاح ديال الألعاب كان نقطة لصالح الهند باش تقدر تنظم شي حدث رياضي دولي كبير. ومن بعد، هاد النجاح تستعمل في الترشيح ديال ألعاب الكومنولث 2010، اللي في الآخر تعطات لديلهي.,"ennajah dial el al3ab kan noqta l salih l-hind bach tqdr tnzzhem chi 7adath riyadi dawli kbir. w men ba3d, had ennajah tst3mel f tarshih dial al3ab el commonwealth 2010, lli fel-akher t3tat l delhi.","The success of the games was a point in favor of India to be able to organize a major international sporting event. Afterwards, this success was used in the bid for the 2010 Commonwealth Games, which ultimately was awarded to Delhi.",كان نجاح الألعاب نقطة لصالح الهند لتنظيم حدث رياضي دولي كبير. بعد ذلك، تم استخدام هذا النجاح في الترشح لدورة ألعاب الكومنولث 2010، التي منحت في النهاية لمدينة دلهي.,classe_D
WIKI_D_07402,D,السبيطارات لكبار ديال وينيپيڭ كيشملو مركز العلوم الصحية، سبيطار كونكورديا، مركز دير لودج، سبيطار گريس، مركز ميزيريكورديا الصحي، مركز ريڤرڤيو الصحي، السبيطار العام سان بونيفاس، السبيطار العام سيڤن أوكس، السبيطار العام ڤيكتوريا، و سبيطار الدراري ديال وينيپيڭ.,"ssbitarat lkbar dyal winnipeg kishmlo markaz l3olom ssi7iya, sbitar concordia, markaz deer lodge, sbitar grace, markaz misericordia ssi7i, markaz riverview ssi7i, ssbitar l3am saint boniface, ssbitar l3am seven oaks, ssbitar l3am victoria, w sbitar drari dyal winnipeg.","The major hospitals in Winnipeg include the Health Sciences Centre, Concordia Hospital, Deer Lodge Centre, Grace Hospital, Misericordia Health Centre, Riverview Health Centre, St. Boniface General Hospital, Seven Oaks General Hospital, Victoria General Hospital, and the Children's Hospital of Winnipeg.",تشمل المستشفيات الكبرى في وينيبيغ مركز العلوم الصحية، مستشفى كونكورديا، مركز دير لودج، مستشفى غريس، مركز ميزيريكورديا الصحي، مركز ريفرفيو الصحي، مستشفى سان بونيفاس العام، مستشفى سيڤن أوكس العام، مستشفى فيكتوريا العام، ومستشفى الأطفال في وينيبيغ.,classe_D
WIKI_D_01971,D,نهار 25 غشت 2011، ولاو أول فرقة إيرلاندية تأهلات لمرحلة المجموعات ديال الدوري الأوروبي ديال الويفا فاش غلبو پارتيزان بلغراد ب 2-1 مور الوقت الضايع ف صربيا، و ربحو ب مجموع 3-2.,"nhar 25 ghusht 2011, wlaw awal ferqa irlandiya t2ahelet l-mer7let lmajmu3at dyal ddawri l2urubi dyal lwefa fash ghelbu partizan belgrade b 2-1 mur lweqt ddaye3 f sserbiya, w rbe7u b mjmu3 3-2.","On August 25, 2011, the first Irish team qualified for the UEFA Europa League group stage after defeating Partizan Belgrade 2-1 in extra time in Serbia, winning with a total of 3-2.",في 25 أغسطس 2011، تأهلت أول فرقة إيرلندية إلى مرحلة المجموعات من الدوري الأوروبي بعد فوزها على بارتيزان بلغراد 2-1 في الوقت الإضافي في صربيا، لتفوز بمجموع 3-2.,classe_D
